File,Lines,Words,KeywordMatches
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.RpcContracts.IStringResourceDictionary.WOFA.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Services.LogHubReaperService.TYGE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Shell.DiagnosticViewerService.1.0.BrokeredClient.RSDV.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Shell.DiagnosticViewerService.1.0.BrokeredService.SNIA.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Shell.OutputChannelStore.0.1.BrokeredClient.QRPP.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Shell.OutputChannelStore.0.1.BrokeredService.RZWR.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Shell.SettingsManager.1.0.BrokeredClient.DVNE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Shell.SettingsManager.1.0.BrokeredService.HCLS.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.TaskStatusCenter.BrokeredClient.IDFA.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.TaskStatusCenter.BrokeredService.HOEC.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.TraceHubCommand.1.0.BrokeredClient.YOBP.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.TraceHubCommand.1.0.BrokeredService.UKYG.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.TraceHubCommand.Core.HIHO.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.TraceHubRegistrationService.1.0.BrokeredClient.BRXE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.TraceHubRegistrationService.1.0.BrokeredService.TKNG.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.TraceHubRegistrationService.Core.GLLF.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Editor.RemoteDocumentTypes.ZJTY.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Editor.TextView.OQPQ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.GitProvider.GitRepositoryManager.1.3.BrokeredClient.TXDN.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.GitProvider.GitRepositoryManager.1.3.BrokeredService.DGWY.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.Conex.Trust.FOCK.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.Developer.IdentityService.UGJE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.Internal.VisualStudio.Extensibility.Framework.ExtensionPartManager.NTTO.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.Internal.VisualStudio.Extensibility.Framework.MetadataServicesFactory.BVTC.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.ServiceHub.Framework.AuthorizationService.BrokeredClient.BSHY.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.ServiceHub.Framework.AuthorizationService.BrokeredService.TJHW.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Commands.Client.Services.RemotableCommandService.MLAN.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.ContextRuleMonitorService.0.1.BrokeredClient.NYBG.svclog,0,0,0
